"Data 3: Nematoe individual biomass = ug, heavy metal concentration = pg ug-1",,,,,,,,
,,,,,,,,
Area,Trophic_group,Code,nematode_individual_biomass,Cr,Cu,Mn,Ni,Zn
Bagnoli-Coroglio Bay,microalgal grazers,2A,0.57,1.16,74.18,1.27,4.24,354.31
Bagnoli-Coroglio Bay,microalgal grazers,2A,2.98,2.52,87.38,0.73,4.73,196.15
Bagnoli-Coroglio Bay,microalgal grazers,2A,3.35,0.78,44.38,0.78,0.87,402.37
Bagnoli-Coroglio Bay,microalgal grazers,2A,2.6,4.03,91.83,2.34,9.41,155.55
Bagnoli-Coroglio Bay,microalgal grazers,2A,0.58,2.52,108.35,1.1,6.57,251.57
Bagnoli-Coroglio Bay,microalgal grazers,2A,0.74,0.58,71.63,0.36,0.8,388.41
Bagnoli-Coroglio Bay,microalgal grazers,2A,0.42,0,81.75,0.33,1.45,317.32
Bagnoli-Coroglio Bay,predators of metazoans,2B,4.08,0.41,40.75,1.39,1.43,713.84
Bagnoli-Coroglio Bay,predators of metazoans,2B,4.55,2.9,48.19,3.72,7.87,726.23
Bagnoli-Coroglio Bay,predators of metazoans,2B,3.61,2.25,41.16,2.42,12.4,450.43
Bagnoli-Coroglio Bay,predators of metazoans,2B,1.36,0.48,54.43,1.9,4.74,614.6
Bagnoli-Coroglio Bay,predators of metazoans,2B,1.96,9.31,70.32,4.4,30.56,317.26
Bagnoli-Coroglio Bay,predators of metazoans,2B,0.75,8.73,55.23,6.33,24.21,189.04
Bagnoli-Coroglio Bay,predators of metazoans,2B,0.53,0.95,55.4,0.35,8.16,594.59
Bagnoli-Coroglio Bay,predators of metazoans,2B,0.69,10.46,47.9,5.19,20.83,234.63
Bagnoli-Coroglio Bay,predators of metazoans,2B,0.37,2.2,55.76,3.82,16.88,334.57
Bagnoli-Coroglio Bay,predators of metazoans,2B,3.96,0.52,38.65,1.27,7.99,666.57
Bagnoli-Coroglio Bay,predators of metazoans,2B,4.27,1.56,53.4,1.39,9.16,719.25
Bagnoli-Coroglio Bay,predators of metazoans,2B,3.66,2,39.22,1.84,3.78,576.8
Bagnoli-Coroglio Bay,predators of metazoans,2B,1.57,0.93,73.68,2.71,14.33,396.11
Bagnoli-Coroglio Bay,predators of metazoans,2B,1.98,11.38,59.88,11.31,33.13,292.82
Bagnoli-Coroglio Bay,predators of metazoans,2B,1.16,7.14,49.51,4.58,24.21,212.67
Gabicce Mare,predators of microbes,1A,1.13,0.57,165.9,7.4,5.73,268.62
Gabicce Mare,predators of microbes,1A,1.35,0.78,160.02,6.66,5.21,278.67
Gabicce Mare,predators of microbes,1A,0.9,0.4,143.53,6.71,5.31,261.13
Gabicce Mare,deposit feeders,1B,0.26,0.61,27.73,0.71,0.75,409.45
Gabicce Mare,deposit feeders,1B,0.3,0.74,28.02,0.76,1.04,413.06
Gabicce Mare,deposit feeders,1B,0.23,0.52,26.25,0.58,0.44,405.02
Gabicce Mare,microalgal grazers,2A,0.49,0.33,42.35,1.96,11.9,312.31
Gabicce Mare,microalgal grazers,2A,0.54,0.36,29.75,1.48,10.99,344.54
Gabicce Mare,microalgal grazers,2A,0.44,0.3,57.49,2.55,11.31,272.88
Gabicce Mare,predators of metazoans,2B,0.66,0.57,6.16,5.43,3.24,298.46
Gabicce Mare,predators of metazoans,2B ,0.86,0.45,5.68,4.26,2.56,313.18
Gabicce Mare,predators of metazoans,2B,0.47,0.74,6.69,6.75,3.96,277.51
